supplier_id,tier,country,country_risk_level,region,production_capacity_units_month,capacity_utilization_pct,gmp_status,fda_approved,cold_chain_capable,avg_lead_time_days,lead_time_volatility_days,historical_delay_frequency_pct,batch_cycle_time_days,batch_failure_rate_pct,financial_health_score,upstream_dependency_known,dependency_pct,is_sole_source,num_approved_alternates,contract_duration_months,geographic_concentration_pct,news_sentiment_score,port_congestion_risk,weather_risk_score,geopolitical_tension_score,active_disruption_signal,cold_chain_route_mismatch,compliance_violation_flag,composite_risk_score,risk_classification
SUP-0001,2,India,0.43,Asia,110293,0.48,True,True,False,22,5.5,0.2,24,0.05,0.38,True,0.27,False,3,3,0.72,0.22,0.7,0.43,0.25,False,False,False,29.35,moderate
SUP-0002,2,Australia,0.15,Pacific,97600,0.94,True,True,True,34,3.4,0.2,27,0.04,0.25,True,0.76,False,1,36,0.25,-0.56,0.37,0.54,0.49,True,False,False,32.55,moderate
SUP-0003,2,Singapore,0.08,Asia,99339,0.93,True,True,False,33,5.0,0.18,8,0.1,0.41,True,0.61,False,4,12,0.24,0.77,0.76,0.74,0.43,False,False,False,18.5,low
SUP-0004,1,Japan,0.17,Asia,161228,0.89,False,False,False,9,0.2,0.02,22,0.01,0.95,False,0.14,True,0,24,0.15,0.41,0.35,0.57,0.15,False,False,True,50.9,high
SUP-0005,3,Ireland,0.05,Europe,43378,0.66,True,True,True,37,0.1,0.0,13,0.0,0.75,True,0.48,True,0,18,0.2,-0.68,0.32,0.59,0.14,True,False,False,31.85,moderate
SUP-0006,3,Canada,0.32,Americas,41453,0.86,True,True,True,49,3.6,0.24,3,0.05,0.2,False,0.32,False,5,12,0.41,0.03,0.27,0.8,0.61,False,False,False,51.1,high
SUP-0007,1,Germany,0.1,Europe,208113,0.63,True,True,False,9,0.5,0.02,25,0.01,1.0,True,0.77,False,2,24,0.42,-0.26,0.41,0.53,0.25,False,False,False,11.2,low
SUP-0008,2,Egypt,0.61,Africa,134175,0.65,False,False,True,51,7.3,0.46,15,0.09,0.55,False,0.11,True,0,18,0.92,-0.22,0.46,0.7,0.52,False,False,False,75.4,critical
SUP-0009,3,India,0.48,Asia,30680,0.58,True,True,False,86,4.6,0.36,20,0.21,0.25,True,0.25,False,1,3,0.86,-0.15,0.82,0.47,0.49,False,True,False,50.75,high
SUP-0010,2,Switzerland,0.04,Europe,149397,0.82,False,False,True,52,0.7,0.03,28,0.01,0.58,True,0.91,False,3,36,0.65,0.68,0.27,0.49,0.1,False,False,True,17.55,low
